Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),5.24,0.18
kexAB (s^-1),64,5
R1 (s^-1),2.47,0.04
R2 (s^-1),20.27,0.05
Red. Chi-sq,0.24
