Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.21,0.08
kexAB (s^-1),2447,198
R1 (s^-1),1.98,0.11
R2 (s^-1),26.10,0.27
Red. Chi-sq,0.69
