Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.38,0.09
kexAB (s^-1),6142,582
R1 (s^-1),3.45,0.08
R2 (s^-1),18.15,0.32
Red. Chi-sq,0.86
