Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.300,1.300
dwB (ppm),3.35,0.11
kexAB (s^-1),2463,174
R1 (s^-1),2.02,0.40
R2 (s^-1),27.25,0.74
Red. Chi-sq,0.86
