Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.50,0.15
kexAB (s^-1),5077,498
R1 (s^-1),1.85,0.04
R2 (s^-1),33.61,0.19
Red. Chi-sq,0.55
