Fit #1
c15_c6 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),3.59,0.27
kexAB (s^-1),5241,667
R1 (s^-1),1.79,0.06
R2 (s^-1),30.05,0.40
Red. Chi-sq,0.47
