Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.33,0.06
kexAB (s^-1),4168,201
R1 (s^-1),1.91,0.10
R2 (s^-1),16.71,0.32
Red. Chi-sq,0.32
