Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.93,0.14
kexAB (s^-1),2788,224
R1 (s^-1),2.90,0.06
R2 (s^-1),19.39,0.11
Red. Chi-sq,0.23
