Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,1191365
R1 (s^-1),0.98,0.10
R2 (s^-1),31.65,7.69
Red. Chi-sq,0.18
