Date : 12/7/2018	Time : 00:41:14	
C:\UVWINLAB\DNA141U1.SP	
15.00	0.6192
15.50	0.6191
16.00	0.6195
16.50	0.6199
17.00	0.6194
17.50	0.6198
18.00	0.6201
18.50	0.6197
19.00	0.6203
19.50	0.6208
20.00	0.6212
20.50	0.6215
21.00	0.6219
21.50	0.6217
22.00	0.6222
22.50	0.6223
23.00	0.6220
23.50	0.6231
24.00	0.6231
24.50	0.6236
25.00	0.6240
25.50	0.6242
26.00	0.6243
26.50	0.6241
27.00	0.6244
27.50	0.6254
28.00	0.6251
28.50	0.6257
29.00	0.6263
29.50	0.6268
30.00	0.6275
30.50	0.6282
31.00	0.6291
31.50	0.6285
32.00	0.6295
32.50	0.6307
33.00	0.6311
33.50	0.6322
34.00	0.6330
34.50	0.6337
35.00	0.6354
35.50	0.6364
36.00	0.6379
36.50	0.6390
37.00	0.6412
37.50	0.6428
38.00	0.6441
38.50	0.6456
39.00	0.6480
39.50	0.6504
40.00	0.6529
40.50	0.6559
41.00	0.6584
41.50	0.6620
42.00	0.6654
42.50	0.6689
43.00	0.6731
43.50	0.6764
44.00	0.6789
44.50	0.6817
45.00	0.6871
45.50	0.6909
46.00	0.6953
46.50	0.6992
47.00	0.7029
47.50	0.7068
48.00	0.7101
48.50	0.7129
49.00	0.7150
49.50	0.7183
50.00	0.7203
50.50	0.7226
51.00	0.7242
51.50	0.7249
52.00	0.7275
52.50	0.7284
53.00	0.7291
53.50	0.7295
54.00	0.7300
54.50	0.7305
55.00	0.7315
55.50	0.7325
56.00	0.7333
56.50	0.7328
57.00	0.7333
57.50	0.7333
58.00	0.7336
58.50	0.7341
59.00	0.7350
59.50	0.7352
60.00	0.7348
60.50	0.7354
61.00	0.7349
61.50	0.7354
62.00	0.7355
62.50	0.7354
63.00	0.7356
63.50	0.7355
64.00	0.7351
64.50	0.7354
65.00	0.7356
Date : 12/7/2018	Time : 01:47:17	


Date : 12/7/2018	Time : 01:47:17	
C:\UVWINLAB\DNA141D1.SP	
65.00	0.7387
64.50	0.7388
64.00	0.7394
63.50	0.7388
63.00	0.7382
62.50	0.7386
62.00	0.7391
61.50	0.7386
61.00	0.7391
60.50	0.7382
60.00	0.7388
59.50	0.7385
59.00	0.7372
58.50	0.7383
58.00	0.7370
57.50	0.7373
57.00	0.7369
56.50	0.7369
56.00	0.7359
55.50	0.7378
55.00	0.7351
54.50	0.7348
54.00	0.7348
53.50	0.7333
53.00	0.7323
52.50	0.7305
52.00	0.7292
51.50	0.7276
51.00	0.7257
50.50	0.7228
50.00	0.7204
49.50	0.7175
49.00	0.7136
48.50	0.7102
48.00	0.7067
47.50	0.7025
47.00	0.6985
46.50	0.6934
46.00	0.6896
45.50	0.6854
45.00	0.6819
44.50	0.6782
44.00	0.6750
43.50	0.6712
43.00	0.6682
42.50	0.6649
42.00	0.6621
41.50	0.6593
41.00	0.6568
40.50	0.6544
40.00	0.6522
