Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),5.18,0.38
kexAB (s^-1),3040,645
R1 (s^-1),2.64,0.68
R2 (s^-1),22.76,1.42
Red. Chi-sq,2.88
