Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),3.93,0.02
kexAB (s^-1),795,10
R1 (s^-1),2.27,0.03
R2 (s^-1),13.28,0.06
Red. Chi-sq,0.18
