Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),3.78,0.02
kexAB (s^-1),795,10
R1 (s^-1),2.90,0.03
R2 (s^-1),19.65,0.06
Red. Chi-sq,0.18
