Fit #1
gc8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.96,0.01
kexAB (s^-1),47,1
R1 (s^-1),1.34,0.05
R2 (s^-1),27.77,0.06
Red. Chi-sq,0.13
