Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.60,0.06
kexAB (s^-1),2341,108
R1 (s^-1),1.16,0.34
R2 (s^-1),20.24,0.63
Red. Chi-sq,0.84
