Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.02,0.07
kexAB (s^-1),2341,108
R1 (s^-1),0.99,0.41
R2 (s^-1),29.97,0.70
Red. Chi-sq,0.84
