Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),3.85,0.06
kexAB (s^-1),65,2
R1 (s^-1),1.52,0.13
R2 (s^-1),17.43,0.20
Red. Chi-sq,0.56
