Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.97,0.01
kexAB (s^-1),2367,36
R1 (s^-1),1.31,0.11
R2 (s^-1),18.10,0.20
Red. Chi-sq,0.08
