Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.46,0.02
kexAB (s^-1),2367,36
R1 (s^-1),2.54,0.12
R2 (s^-1),25.44,0.22
Red. Chi-sq,0.08
