Fit #1
g10c1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.06,0.27
kexAB (s^-1),3343,663
R1 (s^-1),2.17,0.44
R2 (s^-1),18.15,1.15
Red. Chi-sq,4.48
