Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),5.28,1.99
kexAB (s^-1),2656,2250
R1 (s^-1),1.47,0.05
R2 (s^-1),21.51,0.12
Red. Chi-sq,1.43
