Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),4.71,3.36
kexAB (s^-1),2656,2250
R1 (s^-1),1.51,0.09
R2 (s^-1),30.70,0.15
Red. Chi-sq,1.43
