Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),-6.55,2.86
kexAB (s^-1),2656,2250
R1 (s^-1),2.04,0.03
R2 (s^-1),8.58,0.07
Red. Chi-sq,1.43
