Fit #1
g10c1p Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.98,0.13
kexAB (s^-1),6818,610
R1 (s^-1),4.08,0.40
R2 (s^-1),5.88,2.09
Red. Chi-sq,5.88
