Fit #1
g10c8 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),1.78,0.16
kexAB (s^-1),6818,610
R1 (s^-1),3.09,0.82
R2 (s^-1),16.61,2.72
Red. Chi-sq,5.88
