Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.19,0.10
kexAB (s^-1),1610,126
R1 (s^-1),2.24,0.05
R2 (s^-1),23.66,0.09
Red. Chi-sq,0.12
