Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.08,0.04
kexAB (s^-1),348,7
R1 (s^-1),1.26,0.05
R2 (s^-1),27.73,0.08
Red. Chi-sq,0.16
