Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.60,0.07
kexAB (s^-1),348,7
R1 (s^-1),1.17,0.06
R2 (s^-1),18.44,0.07
Red. Chi-sq,0.16
