Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),2.72,0.34
kexAB (s^-1),2540,946
R1 (s^-1),1.59,0.09
R2 (s^-1),14.78,0.19
Red. Chi-sq,0.32
