Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.020,0.020
dwB (ppm),4.25,1.46
kexAB (s^-1),2784,4050
R1 (s^-1),1.64,0.10
R2 (s^-1),15.20,0.26
Red. Chi-sq,0.36
