Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),4.32,0.36
kexAB (s^-1),2970,569
R1 (s^-1),2.38,0.72
R2 (s^-1),28.58,1.49
Red. Chi-sq,2.62
