Fit #1
gc1p Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.78,0.05
kexAB (s^-1),4743,442
R1 (s^-1),2.02,0.18
R2 (s^-1),19.17,0.64
Red. Chi-sq,0.87
