param,fitval,fiterror
pB,0.00203,0.00015
pC,0.00000,0.00000
dwB,3.93875,0.09135
dwC,0.00000,0.00000
kexAB,490.24112,43.21912
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,2.26581,0.01274
R2,12.43442,0.26754
rchi2,13.63166,0.0
