param,fitval,fiterror
pB,0.00203,0.00015
pC,0.00000,0.00000
dwB,3.78852,0.03415
dwC,-0.00000,0.00000
kexAB,490.24112,43.21912
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,2.68233,0.00278
R2,19.15631,0.12821
rchi2,13.63166,0.0
