Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.40,0.21
kexAB (s^-1),1677,301
R1 (s^-1),2.26,0.06
R2 (s^-1),13.37,0.13
Red. Chi-sq,0.23
