Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.39,0.16
kexAB (s^-1),60,7
R1 (s^-1),1.70,0.07
R2 (s^-1),14.62,0.09
Red. Chi-sq,0.26
