Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.34,2.19
kexAB (s^-1),3952,4907
R1 (s^-1),3.03,0.25
R2 (s^-1),27.58,0.80
Red. Chi-sq,2.03
