Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.17,0.16
kexAB (s^-1),485,44
R1 (s^-1),2.49,0.14
R2 (s^-1),25.75,0.20
Red. Chi-sq,0.96
