Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),6.68,6.60
kexAB (s^-1),4262,9859
R1 (s^-1),3.99,1.29
R2 (s^-1),35.90,3.33
Red. Chi-sq,8.15
