Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.090,0.090
dwB (ppm),7.02,5.47
kexAB (s^-1),4262,9859
R1 (s^-1),5.08,1.14
R2 (s^-1),30.49,3.04
Red. Chi-sq,8.15
