Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.90,0.02
kexAB (s^-1),523,6
R1 (s^-1),2.19,0.03
R2 (s^-1),13.52,0.06
Red. Chi-sq,0.20
