Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.198,0.005
dwB (ppm),4.13,0.12
kexAB (s^-1),2491,135
R1 (s^-1),2.39,0.06
R2 (s^-1),13.36,0.11
Red. Chi-sq,0.16
