Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.400,2.400
dwB (ppm),3.31,0.03
kexAB (s^-1),2085,43
R1 (s^-1),0.87,0.17
R2 (s^-1),19.95,0.30
Red. Chi-sq,0.22
