Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.27,4.27
kexAB (s^-1),92417,10670
R1 (s^-1),2.60,0.05
R2 (s^-1),5.30,1.80
Red. Chi-sq,0.34
