Fit #1
G_C1p_Off_reduce_new_trunc Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.12,4.12
kexAB (s^-1),92417,10670
R1 (s^-1),2.34,0.05
R2 (s^-1),0.01,1.69
Red. Chi-sq,0.34
