Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),5.45,5.52
kexAB (s^-1),3415,10012
R1 (s^-1),4.72,0.09
R2 (s^-1),21.31,0.32
Red. Chi-sq,3.10
