Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.13,0.06
kexAB (s^-1),3970,181
R1 (s^-1),1.79,0.11
R2 (s^-1),26.72,0.29
Red. Chi-sq,0.28
