param,fitval,fiterror
pB,0.00010,0.00000
pC,0.00000,0.00000
dwB,3.85102,1.05970
dwC,0.00000,0.00000
kexAB,600.05911,1292.10257
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,2.71461,0.00393
R2,20.30416,0.19564
rchi2,26.76635,0.0
