param,fitval,fiterror
pB,0.00010,0.00000
pC,0.00000,0.00000
dwB,3.95585,2.75528
dwC,-0.00000,0.00000
kexAB,600.05911,1292.10257
kexAC,-0.00000,0.00000
kexBC,-0.00000,0.00000
R1,2.32812,0.01853
R2,13.43251,0.39477
rchi2,26.76635,0.0
