Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),6.40,2.90
kexAB (s^-1),4444,7729
R1 (s^-1),3.21,2.01
R2 (s^-1),51.08,6.81
Red. Chi-sq,13.67
