Fit #1
gc8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.43,0.02
kexAB (s^-1),32,3
R1 (s^-1),2.40,0.07
R2 (s^-1),24.20,0.09
Red. Chi-sq,0.27
