m,b
1,-0.2930796474929116
1,-0.2678255292268936
1,-0.2118370415218278
1,-0.2875898687507885
1,-0.31584233086321234
1,-0.17321006421592
1,-0.2312418698792873
1,-0.2687533818244664
1,-0.25076787717759064
1,-0.26007093263442926
1,-0.19397474347676935
1,-0.28048152438070484
1,-0.19680183285301078
1,-0.20896293538422306
1,-0.18868191040898807
1,-0.25232635491391786
1,-0.1636689260541757
1,-0.1790638035890385
1,-0.24013205560787867
1,-0.13413006208964834
1,-0.16915317496791257
1,-0.24514681727335108
1,-0.2628684460033093
1,-0.24447565220339573
1,-0.20264056372008357
1,-0.1811696841904713
1,-0.27717143451474113
1,-0.2577032238997923
1,-0.17259749881403752
1,-0.17498580711544154
1,-0.2115822963148759
1,-0.2384862827258749
1,-0.18750399702729736
1,-0.20958946099537012
1,-0.2089316005500115
1,-0.09772975202258927
1,-0.33513478687422693
1,-0.18849731367102884
1,-0.20906308743942414
1,-0.14263160770631966
1,-0.21199750196558476
1,-0.15627252711552808
1,-0.19062447273556385
1,-0.1582213901674423
1,-0.16273714089522962
1,-0.2563310464851769
1,-0.16303428247462204
1,-0.16055666499031562
1,-0.26581535659672073
1,-0.18349176914628534
1,-0.30968086332774347
1,-0.3016955289660812
1,-0.259264654343744
1,-0.23647698206335432
1,-0.1748462994331439
1,-0.225890735349076
1,-0.277623639376554
1,-0.24985990779502765
1,-0.1752502175795545
1,-0.2019964403415977
1,-0.20419197803537825
1,-0.20487558114014576
1,-0.21969945811874525
1,-0.19517442978911814
1,-0.21262560979330303
1,-0.17859178226133676
1,-0.21819851444870397
1,-0.15491476671739368
1,-0.25119583782460553
1,-0.22075476407873018
1,-0.25060419115694677
1,-0.22419636712111157
1,-0.20750957058671052
1,-0.15875933749213633
1,-0.17811976437131638
1,-0.17612724669515
1,-0.2649104391670718
1,-0.2846310944893296
1,-0.268756695416186
1,-0.198164489368718
1,-0.1646767246748182
1,-0.1759570321967343
1,-0.2630897348073953
1,-0.20719286692334338
1,-0.2193603005025997
1,-0.18807869340092603
1,-0.19827446967916962
1,-0.29011497875453496
1,-0.20895520457354455
1,-0.1957452785363974
1,-0.20845406409828016
1,-0.18627391924544612
1,-0.291934419834051
1,-0.1897741515456315
1,-0.20989694120149216
1,-0.23759938523226687
1,-0.20375740841367573
1,-0.19820014394545907
1,-0.31656785403541865
1,-0.2054486397412405
1,-0.20814829224035394
1,-0.17096278886177663
1,-0.20787704023165565
1,-0.18274414657402877
1,-0.16031277779500622
1,-0.32907991843706075
1,-0.21759459735090642
1,-0.18923665011559843
1,-0.17993293675144306
1,-0.1948865014464758
1,-0.2380158830711605
1,-0.21714378711829313
1,-0.21765522635870682
1,-0.18760157805369793
1,-0.20021048261244645
1,-0.22756372888793952
1,-0.24464181870163304
1,-0.23978302393656692
1,-0.21052035346507436
1,-0.26207903018297896
1,-0.1758580065309494
1,-0.1469914259274907
1,-0.27015644458508725
1,-0.172368857554126
1,-0.2990279610489981
1,-0.19367403408808848
1,-0.24375314412511395
1,-0.1676346663128474
1,-0.16149500645829273
1,-0.20938811209210995
1,-0.23983811584398373
1,-0.28405502545762173
1,-0.30437080917173476
1,-0.1919441362689056
1,-0.19244159346813405
1,-0.20741886994483316
1,-0.19238877060612825
