Date : 8/24/2019	Time : 17:26:11	
C:\UVWINLAB\A6DNAwt11U1.SP	
43.00	0.6943
43.20	0.6960
43.50	0.6994
43.70	0.7014
44.00	0.7043
44.20	0.7058
44.50	0.7091
44.70	0.7091
45.00	0.7147
45.20	0.7166
45.50	0.7197
45.70	0.7218
46.00	0.7248
46.20	0.7270
46.50	0.7306
46.70	0.7306
47.00	0.7358
47.20	0.7375
47.50	0.7405
47.70	0.7427
48.00	0.7451
48.20	0.7466
48.50	0.7498
48.70	0.7498
49.00	0.7544
49.20	0.7557
49.50	0.7577
49.70	0.7591
50.00	0.7610
50.20	0.7624
50.50	0.7646
50.70	0.7646
51.00	0.7672
51.20	0.7683
51.50	0.7696
51.70	0.7706
52.00	0.7718
52.20	0.7726
52.50	0.7736
52.70	0.7736
53.00	0.7755
53.20	0.7762
53.50	0.7770
53.70	0.7775
54.00	0.7782
54.20	0.7791
54.50	0.7796
54.70	0.7796
55.00	0.7808
55.20	0.7814
55.50	0.7819
55.70	0.7823
56.00	0.7829
56.20	0.7831
56.50	0.7839
56.70	0.7839
57.00	0.7848
57.20	0.7850
57.50	0.7857
57.70	0.7864
58.00	0.7870
58.20	0.7872
58.50	0.7883
58.70	0.7883
59.00	0.7889
59.20	0.7890
59.50	0.7895
59.70	0.7899
60.00	0.7905
60.20	0.7910
60.50	0.7919
60.70	0.7919
61.00	0.7929
61.20	0.7931
61.50	0.7938
61.70	0.7940
62.00	0.7946
62.20	0.7947
62.50	0.7956
62.70	0.7956
63.00	0.7966
63.20	0.7969
63.50	0.7975
63.70	0.7978
64.00	0.7983
64.20	0.7988
64.40	0.7992
64.70	0.7998
64.90	0.8001
65.20	0.8009
65.40	0.8010
65.70	0.8021
65.90	0.8024
66.20	0.8030
66.40	0.8034
66.70	0.8040
66.90	0.8045
67.20	0.8050
67.40	0.8054
67.70	0.8060
67.90	0.8060
68.20	0.8071
68.40	0.8075
68.70	0.8080
68.90	0.8086
69.20	0.8090
69.40	0.8095
69.70	0.8101
69.90	0.8101
70.20	0.8112
70.40	0.8118
70.70	0.8120
70.90	0.8126
71.20	0.8132
71.40	0.8137
71.70	0.8143
71.90	0.8143
72.20	0.8151
72.40	0.8158
72.70	0.8161
72.90	0.8164
73.20	0.8172
73.40	0.8173
73.70	0.8180
73.90	0.8180
74.20	0.8188
74.40	0.8194
74.70	0.8198
74.90	0.8201
75.20	0.8208
75.40	0.8212
75.70	0.8218
75.90	0.8218
76.20	0.8230
76.40	0.8232
76.70	0.8237
76.90	0.8240
77.20	0.8245
77.40	0.8251
77.70	0.8256
77.90	0.8256
78.20	0.8262
78.40	0.8267
78.70	0.8273
78.90	0.8275
79.20	0.8280
79.40	0.8285
79.70	0.8290
79.90	0.8290
80.20	0.8300
80.40	0.8302
80.70	0.8308
80.90	0.8313
81.20	0.8318
81.40	0.8322
81.70	0.8329
81.90	0.8329
82.20	0.8338
82.40	0.8341
82.70	0.8348
82.90	0.8349
83.20	0.8356
83.40	0.8359
83.70	0.8367
83.90	0.8367
84.20	0.8376
84.40	0.8381
84.70	0.8386
84.90	0.8390
85.20	0.8397
85.40	0.8401
85.70	0.8408
85.90	0.8408
86.20	0.8416
86.40	0.8421
86.70	0.8429
86.90	0.8434
87.20	0.8437
87.40	0.8443
87.70	0.8447
87.90	0.8447
88.20	0.8459
88.40	0.8465
88.70	0.8471
88.90	0.8476
89.20	0.8481
89.40	0.8487
89.70	0.8494
89.90	0.8494
90.20	0.8503
90.40	0.8508
90.70	0.8513
90.90	0.8520
91.20	0.8522
91.40	0.8532
91.70	0.8538
91.90	0.8538
92.20	0.8546
92.40	0.8550
92.70	0.8559
92.90	0.8563
93.20	0.8567
93.40	0.8577
93.70	0.8581
93.90	0.8581
94.20	0.8591
94.40	0.8598
94.70	0.8604
94.90	0.8606
