Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.47,0.06
kexAB (s^-1),2898,138
R1 (s^-1),1.51,0.13
R2 (s^-1),28.00,0.27
Red. Chi-sq,0.22
