Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.47,0.05
kexAB (s^-1),2898,138
R1 (s^-1),1.41,0.10
R2 (s^-1),20.10,0.22
Red. Chi-sq,0.22
