Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.725,0.010
dwB (ppm),3.01,0.03
kexAB (s^-1),1736,42
R1 (s^-1),1.97,0.05
R2 (s^-1),20.80,0.09
Red. Chi-sq,0.11
