Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.725,0.010
dwB (ppm),3.69,0.04
kexAB (s^-1),1736,42
R1 (s^-1),1.87,0.06
R2 (s^-1),15.07,0.12
Red. Chi-sq,0.11
