Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),4.99,1.55
kexAB (s^-1),2991,2752
R1 (s^-1),1.98,0.22
R2 (s^-1),19.43,0.55
Red. Chi-sq,1.84
