Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),2.94,0.00
kexAB (s^-1),11,1
R1 (s^-1),1.74,0.05
R2 (s^-1),43.27,0.08
Red. Chi-sq,0.89
