Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.12,0.07
kexAB (s^-1),3739,461
R1 (s^-1),2.84,0.12
R2 (s^-1),25.49,0.47
Red. Chi-sq,1.02
