Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.27,4.27
kexAB (s^-1),93,11
R1 (s^-1),2.34,0.05
R2 (s^-1),20.88,0.07
Red. Chi-sq,0.26
