Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),3.56,0.32
kexAB (s^-1),2463,401
R1 (s^-1),2.50,0.04
R2 (s^-1),20.19,0.08
Red. Chi-sq,0.22
