Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),2.81,0.10
kexAB (s^-1),2834,230
R1 (s^-1),1.74,0.04
R2 (s^-1),41.60,0.15
Red. Chi-sq,0.70
