Fit #1
G_C1p_Off_clean Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.12,4.12
kexAB (s^-1),13316,698
R1 (s^-1),2.41,0.04
R2 (s^-1),10.34,0.08
Red. Chi-sq,0.26
